epizod,wynik,kroki,epsilon,rozmiar_pamięci,średnia_strata
819,14,131,0.016486,20000,14.431451
820,20,177,0.016403,20000,11.627622
821,2,14,0.016321,20000,7.611955
822,10,72,0.016239,20000,15.155188
823,19,152,0.016158,20000,12.142609
824,11,107,0.016078,20000,13.051179
825,23,194,0.015997,20000,13.204497
826,18,135,0.015917,20000,14.175346
827,12,83,0.015838,20000,12.821407
828,16,139,0.015758,20000,13.443439
829,20,184,0.015680,20000,11.957257
830,15,89,0.015601,20000,13.131872
831,27,229,0.015523,20000,10.155156
832,13,104,0.015446,20000,12.465763
833,15,111,0.015368,20000,10.507770
834,22,191,0.015291,20000,12.125032
835,19,161,0.015215,20000,12.828693
836,25,205,0.015139,20000,12.938064
837,21,172,0.015063,20000,10.495134
838,17,126,0.014988,20000,14.287906
839,13,116,0.014913,20000,12.688453
840,36,305,0.014838,20000,12.908301
841,9,92,0.014764,20000,13.883909
842,20,150,0.014690,20000,11.948121
843,6,44,0.014617,20000,9.252951
844,17,122,0.014544,20000,10.941664
845,13,105,0.014471,20000,11.101437
846,8,65,0.014399,20000,12.696511
847,19,175,0.014327,20000,12.572285
848,16,122,0.014255,20000,11.556426
849,10,74,0.014184,20000,14.208208
850,22,171,0.014113,20000,11.794229
851,19,154,0.014042,20000,14.049121
852,21,180,0.013972,20000,11.854106
853,19,145,0.013902,20000,13.164761
854,23,233,0.013833,20000,12.780627
855,12,99,0.013764,20000,10.270842
856,24,188,0.013695,20000,12.042158
857,0,8,0.013626,20000,7.463286
858,16,113,0.013558,20000,12.389139
859,21,190,0.013490,20000,10.372514
860,12,97,0.013423,20000,12.391943
861,29,242,0.013356,20000,13.030169
862,20,145,0.013289,20000,11.643002
863,16,134,0.013223,20000,12.721055
864,12,95,0.013157,20000,13.693944
865,13,90,0.013091,20000,10.433154
866,15,126,0.013025,20000,16.108118
867,28,237,0.012960,20000,13.297865
868,8,74,0.012895,20000,12.813491
869,17,130,0.012831,20000,15.188015
870,24,204,0.012767,20000,12.996034
871,21,143,0.012703,20000,14.883718
872,22,169,0.012639,20000,13.587537
873,9,82,0.012576,20000,12.283523
874,14,117,0.012513,20000,12.109940
875,24,209,0.012451,20000,12.722342
876,22,225,0.012389,20000,14.004833
