epizod,wynik,kroki,epsilon,rozmiar_pamięci,średnia_strata
847,16,162,0.014327,20000,11.038259
848,21,156,0.014255,20000,13.444970
849,12,87,0.014184,20000,13.683516
850,24,180,0.014113,20000,12.113226
851,25,207,0.014042,20000,11.832680
852,8,58,0.013972,20000,14.390928
853,17,121,0.013902,20000,13.597502
854,14,112,0.013833,20000,10.982874
855,11,76,0.013764,20000,9.664126
856,15,160,0.013695,20000,11.093835
857,20,143,0.013626,20000,12.309583
858,18,148,0.013558,20000,11.013911
859,14,121,0.013490,20000,11.962415
860,17,118,0.013423,20000,9.350800
861,14,101,0.013356,20000,10.735897
862,20,189,0.013289,20000,10.295713
863,6,48,0.013223,20000,10.378528
864,9,63,0.013157,20000,12.851984
865,13,111,0.013091,20000,8.564266
866,6,38,0.013025,20000,7.601653
867,21,131,0.012960,20000,9.631873
868,12,95,0.012895,20000,13.216526
869,22,127,0.012831,20000,11.273485
870,13,113,0.012767,20000,12.688291
871,20,179,0.012703,20000,11.447336
872,19,146,0.012639,20000,10.842964
873,26,217,0.012576,20000,10.878607
874,18,164,0.012513,20000,10.069051
875,21,187,0.012451,20000,10.416414
876,14,118,0.012389,20000,11.905926
877,17,110,0.012327,20000,11.358507
878,23,195,0.012265,20000,11.989212
879,17,123,0.012204,20000,11.524412
880,14,103,0.012143,20000,11.018091
881,16,145,0.012082,20000,11.695196
882,17,134,0.012021,20000,10.308132
883,12,105,0.011961,20000,10.652743
884,20,149,0.011902,20000,12.030742
885,12,85,0.011842,20000,8.779400
886,19,157,0.011783,20000,13.030968
887,18,128,0.011724,20000,12.267295
888,26,209,0.011665,20000,11.459470
889,24,202,0.011607,20000,9.353976
890,1,11,0.011549,20000,17.458175
891,21,197,0.011491,20000,10.585911
892,0,8,0.011434,20000,9.060202
893,24,206,0.011377,20000,11.330917
894,9,82,0.011320,20000,13.020714
895,22,205,0.011263,20000,12.204284
896,9,66,0.011207,20000,11.718663
897,13,111,0.011151,20000,13.104780
898,14,106,0.011095,20000,11.987766
899,22,209,0.011040,20000,13.448969
900,14,113,0.010984,20000,12.835419
901,14,121,0.010929,20000,11.485732
902,10,59,0.010875,20000,15.279695
903,13,108,0.010820,20000,13.176780
904,26,260,0.010766,20000,12.718846
905,13,91,0.010712,20000,9.837926
906,9,55,0.010659,20000,13.905747
907,28,241,0.010606,20000,10.014920
908,13,110,0.010553,20000,13.185619
909,13,77,0.010500,20000,12.256209
910,16,122,0.010447,20000,12.623352
911,25,252,0.010395,20000,13.039425
912,16,149,0.010343,20000,13.450815
913,13,96,0.010291,20000,9.928829
914,25,187,0.010240,20000,14.341050
915,24,188,0.010189,20000,13.436955
916,7,47,0.010138,20000,13.722197
917,14,114,0.010087,20000,13.082119
918,26,232,0.010037,20000,13.266352
919,17,144,0.010000,20000,12.586526
920,15,121,0.010000,20000,11.251093
921,27,243,0.010000,20000,11.919963
922,12,84,0.010000,20000,9.313208
923,18,163,0.010000,20000,12.913390
924,11,81,0.010000,20000,12.047370
925,11,92,0.010000,20000,9.149451
926,19,180,0.010000,20000,9.759060
927,14,145,0.010000,20000,11.617837
928,19,168,0.010000,20000,11.125617
929,28,262,0.010000,20000,12.431032
930,15,116,0.010000,20000,11.157163
931,23,195,0.010000,20000,11.353673
932,7,40,0.010000,20000,11.247026
933,6,39,0.010000,20000,13.651923
934,10,71,0.010000,20000,13.256983
935,25,231,0.010000,20000,12.044553
936,12,73,0.010000,20000,11.377197
937,19,187,0.010000,20000,11.136811
938,32,289,0.010000,20000,10.767147
939,19,192,0.010000,20000,10.445034
940,21,169,0.010000,20000,12.628357
941,10,72,0.010000,20000,13.882673
942,16,140,0.010000,20000,12.240187
943,31,256,0.010000,20000,14.135038
944,13,84,0.010000,20000,10.824634
945,16,118,0.010000,20000,12.490472
946,19,186,0.010000,20000,12.770987
